CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
Congo,COG,20200303,20200320,C8: International travel controls,2,,"The Congolese Ministry of Health announced new quarantine measures for all travelers from areas with high numbers of coronavirus (COVID-19) cases amid fears of an outbreak in the country on Tuesday, March 3. 14-day quarantine in a hotel located in Kintélé will apply to all travelers who stayed in or transited through mainland China, South Korea, Iran, and Italy.    Authorities also announced the quarantine of any travelers with COVID-19 symptoms (fever and cough).    There have been no confirmed cases of coronavirus in Congo as of Wednesday, March 4. Further spread of the virus is to be expected over the near term.  https://web.archive.org/save/https://www.garda.com/crisis24/news-alerts/319746/congo-authorities-implement-quarantine-measures-march-3"
Congo,COG,20200314,20200824,H3: Contact tracing,1,,"DAKAR, March 14 (Reuters) - Congo Republic on Saturday confirmed its first case of the coronavirus, a 50-year-old man who had traveled to the country on March 1 from Paris, the government said.    The patient is in stable condition and his wife and daughter have been isolated, the government said in a statement. https://web.archive.org/web/20200316101152/https://news.trust.org/item/20200314231524-ebs0t"
Congo,COG,20200315,20200329,H1: Public information campaigns,1,1,"Ministry of Communication and Media first releases an urgent warning on COVID based on the first Corona Virus case in the country - Minister urges caution, vigilance in prevention and following recommendations (hand wash with soap / hand sanitizer etc.) https://web.archive.org/save/https://www.facebook.com/MinistereComCG/?__tn__=kCH-R&eid=ARC_gCaLX8SDUfG9e0E-QXkVLYUtxE8HGI-H6G7sUI8fluXTj9SsB9rvbzyJvUDDtXcsNHfgCWgIX5E1&hc_ref=ARTxHdye3czMl7eTvK9SheSUH_5TbKoJAqpGDG_cXkvq2DW0qlgaECnXTCGMyeG2CZM&fref=nf&__xts__%5B0%5D=68.ARDjRomxowlmn_rc6-DiCxQoEpxt50vwVsW8rM9PkUZk2vs_7Hi0H8f05Es10EMJEr1xuS0ebAV9H4Fwa6vrBZemW5MC_CYWo17xzvZsCiJJ9qs2SJ641XFtBvFirOpdTSCq9n-_MeklXtDKBCQUBQF0PUc_ZKogX_I_9E9v2pLGqWCFwFMWsKXx2k3Aa5hNwN6FlcVkF-yPIIg2qeshTlwtTRVi4H1fNOXchJ97urIxyvpp56CGL6Ng4Qishw1FAU6IkEyC_EW5Dmg2d9I6e2Ato3Oa-atyle9XjC5E_Gxd088sDncEUAIwQaFTi4t22_XnWC9LRF79IvnCKHDqjmnDQ0hUokWgFQndMTbevCTfYgU8EejwI448PwYQ8SFXQn6vXa97nczfNNriGDJHpW6XboYxjkMPQDkTOTbz85zOEpZ2zpHPWyngscYG1t9uWVKVlMP4Z0KfLm2SDdcW9mtTxVOGYb9YnCYs3924iU_-sbofK_rdF4kDp3VUWvNGHdwUkZqRDw"
Congo,COG,20200319,20200824,H2: Testing policy,1,,"Arriving travelers/ those exposed to them e.g. ""The tests of the Covid-19 on an American national and a Congolese subject, coming from Paris in France, turned out to be positive."" In the government statement, the chief of the executive Clément Mouamba stressed that the tracing and the research of the contact subjects are in progress. https://web.archive.org/save/https://lesechos-congobrazza.com/societe/6729-deux-cas-de-coronavirus-detectes-a-brazzaville-le-gouvernement-renforce-son-protocole"
Congo,COG,20200321,20200823,C8: International travel controls,4,,"As of March 21, 2020 The Republic of Congo closed its borders and all international passenger flights are suspended. https://web.archive.org/save/https://cg.usembassy.gov/covid-19-information/"
Congo,COG,20200328,20200517,C1: School closing,3,1,"Places of worship, schools, higher education institutions, bars and nightclubs are closed. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/staying-during-coronavirus"
Congo,COG,20200328,20200517,C2: Workplace closing,3,1,"There is only an exception for workers providing essential goods and services. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/staying-during-coronavirus"
Congo,COG,20200328,20201014,C3: Cancel public events,2,1,"Places of worship, schools, higher education institutions, bars and nightclubs are closed.  Gatherings of more than 50 people as well as of family events such as weddings and funerals are prohibited. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/staying-during-coronavirus"
Congo,COG,20200328,20210412,C4: Restrictions on gatherings,3,1,"Gatherings of more than 50 people as well as of family events such as weddings and funerals are prohibited. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/staying-during-coronavirus"
Congo,COG,20200328,20200517,C6: Stay at home requirements,3,1,"Lockdown measures include prohibiting people from leaving home and a nationwide curfew from 8 pm until 5 am. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/staying-during-coronavirus"
Congo,COG,20200328,20200517,C7: Restrictions on internal movement,2,1,"Lockdown measures include suspension of non-essential travel and a curfew. exceptions are only for essential services. "
Congo,COG,20200328,20200531,H8: Protection of elderly people,3,1,"Coding review:    The coding for C6 seems contradictory: it mentions that people are prohibited from leaving home (implying at all times) and that there is a curfew from 8pm to 5am. If people are not allowed to leave their home at all, then an additional curfew doesn’t make sense.    Unfortunately, the archived source offers no additional clarification, as it mentions neither they prohibition to leave home nor the curfew. I also can’t find any archived information on the government’s website (https://gouvernement.cg/), that would shed more light on exactly what the policy was at the time.    If the curfew is only at night, then this by itself would not change the H8 coding, as per the coding guidance “will not affect the operation of Long Term Care Facilities or elderly residents, so really only significant curfews during the majority of daytime hours would warrant coding C6 as a 2, and an H8 as a non-zero value accordingly.”    However, a later coding in July has an archived UK government foreign travel advice page, which mentions exactly what had been coded for the period from 28 March onwards:  •	Lockdown measures, including prohibiting people from leaving home, suspension of non-essential travel and a curfew. There is an exception for workers providing essential goods and services.  •	A nationwide curfew from 8 pm until 5 am.    This only seems to make sense if people are told to stay at home in general, where there are more exceptions during the day than during the curfew times.  http://archive.vn/07PUl    Interpreted in this way, this does indeed impact the elderly as well.    Therefore, changing H8 to align with C6.    Note that C6 seems to have been coded inconsistently. The same policies – quoted above for March and July – are coded as 3G in the March to May period, and as 2G in the June to September period.  It might make sense to revisit the C6 coding, and if changes are made, then change H8 accordingly.  "
Congo,COG,20200330,20210816,H1: Public information campaigns,2,1,"As of March 30, the relevant Ministries are releasing the same / coordinated info, press releases and there is a national hotline https://web.archive.org/save/https://www.facebook.com/MinistereComCG/?__tn__=kCH-R&eid=ARC_gCaLX8SDUfG9e0E-QXkVLYUtxE8HGI-H6G7sUI8fluXTj9SsB9rvbzyJvUDDtXcsNHfgCWgIX5E1&hc_ref=ARTxHdye3czMl7eTvK9SheSUH_5TbKoJAqpGDG_cXkvq2DW0qlgaECnXTCGMyeG2CZM&fref=nf&__xts__%5B0%5D=68.ARDjRomxowlmn_rc6-DiCxQoEpxt50vwVsW8rM9PkUZk2vs_7Hi0H8f05Es10EMJEr1xuS0ebAV9H4Fwa6vrBZemW5MC_CYWo17xzvZsCiJJ9qs2SJ641XFtBvFirOpdTSCq9n-_MeklXtDKBCQUBQF0PUc_ZKogX_I_9E9v2pLGqWCFwFMWsKXx2k3Aa5hNwN6FlcVkF-yPIIg2qeshTlwtTRVi4H1fNOXchJ97urIxyvpp56CGL6Ng4Qishw1FAU6IkEyC_EW5Dmg2d9I6e2Ato3Oa-atyle9XjC5E_Gxd088sDncEUAIwQaFTi4t22_XnWC9LRF79IvnCKHDqjmnDQ0hUokWgFQndMTbevCTfYgU8EejwI448PwYQ8SFXQn6vXa97nczfNNriGDJHpW6XboYxjkMPQDkTOTbz85zOEpZ2zpHPWyngscYG1t9uWVKVlMP4Z0KfLm2SDdcW9mtTxVOGYb9YnCYs3924iU_-sbofK_rdF4kDp3VUWvNGHdwUkZqRDw"
Congo,COG,20200331,20200517,C5: Close public transport,2,1,"Lockdown measures include suspension of non-essential travel and a curfew. exceptions are only for essential services. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/congo/entry-requirements"
Congo,COG,20200331,20200601,E1: Income support,1,1,"Financial aid of 4 billion FCFA granted to households and people experiencing poverty. https://web.archive.org/save/https://home.kpmg/xx/en/home/insights/2020/04/republic-of-congo-government-and-institution-measures-in-response-to-covid.html"
Congo,COG,20200331,20200601,E2: Debt/contract relief,2,,"Free water and electricity for all households during the confinement period. https://web.archive.org/save/https://home.kpmg/xx/en/home/insights/2020/04/republic-of-congo-government-and-institution-measures-in-response-to-covid.html"
Congo,COG,20200430,20220815,H6: Facial Coverings,3,1,"From 30 April, the President of the Republic of Congo announced that the use of face masks would be compulsory in public spaces.    http://web.archive.org/web/20200911005454/https://www.garda.com/crisis24/news-alerts/338286/congo-government-extends-covid-19-lockdown-measures-until-may-15-update-4"
Congo,COG,20200518,20201021,C1: School closing,2,1,"On May 18, the lockdown was eased with opening up of primary schools' final year class and graduation class. See: https://web.archive.org/save/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#C"
Congo,COG,20200518,20200601,C2: Workplace closing,3,0,"On May 18, the lockdown was eased: restaurants, hotels, and most private services remain closed in the two main cities, but the rest of the country has opened up completely. See: https://web.archive.org/save/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#C"
Congo,COG,20200518,20200601,C5: Close public transport,2,0,"On May 18, the lockdown was eased with opening up of public transportation. See: https://web.archive.org/save/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#C"
Congo,COG,20200518,20200927,C6: Stay at home requirements,2,1,"Current nationwide overnight curfew between 20:00 and 05:00 (local time). See: ttps://web.archive.org/web/20200601213428/https://www.garda.com/crisis24/news-alerts/342926/congo-authorities-extend-curfew-and-border-closures-until-may-31-update-5"
Congo,COG,20200518,20200720,C7: Restrictions on internal movement,2,0,"Non-essential travel in and out of both Brazzaville and Pointe-Noire is restricted, while in zone 2, travel between other departments can resume from Monday, May 18. See:  https://web.archive.org/save/https://www.garda.com/crisis24/news-alerts/342926/congo-authorities-extend-curfew-and-border-closures-until-may-31-update-5"
Congo,COG,20200601,20200720,H8: Protection of elderly people,2,1,"Coding review:  C6 mentions stay at home order. Per rationale in previous H8 coding revision, changing H8 to align with C6.  Previous coding was 0.  "
Congo,COG,20200602,20200803,C2: Workplace closing,2,0,"Some shops and hairdressers have reopened, bars, restaurants and hotels remain closed in major cities.     https://web.archive.org/save/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#Chttps://www.africanews.com/2020/05/19/republic-of-congo-begins-life-after-lockdown//"
Congo,COG,20200602,20200720,C5: Close public transport,1,0,"Lockdown was extended to the 31st of May, with gradual easing at different rates in different zones. A significant proportion of public transport was opened on 18th May with further easing planned for 31st May. Unable to find data from beyond 31st May to confirm.     https://web.archive.org/web/20200601213428/https://www.garda.com/crisis24/news-alerts/342926/congo-authorities-extend-curfew-and-border-closures-until-may-31-update-5  https://web.archive.org/save/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/    https://web.archive.org/web/20200611220340/https://www.africanews.com/2020/05/19/republic-of-congo-begins-life-after-lockdown//  ""The resumption of public transport is great news for Pavel Samba who has been a taxi driver for the last 15 years."""
